LeadId,Age,Gender,Income,PolicyName
176,43,Male,300000,Policy_1
58,32,Female,300000,Policy_11
17,29,Male,1100000,Policy_3
215,50,Male,300000,Policy_1
34,25,Male,1400000,Policy_4
45,30,Male,400000,Policy_2
36,28,Male,300000,Policy_1
119,37,Female,300000,Policy_10
28,22,Female,2100000,Policy_14
33,24,Male,900000,Policy_2
85,34,Male,200000,Policy_1
128,38,Female,400000,Policy_10
31,30,Male,2200000,Policy_4
14,29,Male,300000,Policy_1
97,35,Male,300000,Policy_1
16,29,Male,3400000,Policy_7
83,34,Male,1100000,Policy_3
48,31,Female,600000,Policy_11
9,28,Female,2600000,Policy_13
56,32,Male,1400000,Policy_4
26,26,Male,600000,Policy_2
59,32,Female,600000,Policy_10
80,34,Male,300000,Policy_1
141,40,Male,300000,Policy_1
207,48,Male,1100000,Policy_5
24,26,Male,700000,Policy_2
95,35,Male,1400000,Policy_4
12,28,Female,1400000,Policy_12
98,35,Female,600000,Policy_12
154,40,Male,300000,Policy_1
114,36,Male,2200000,Policy_4
38,29,Female,3400000,Policy_14
237,55,Male,300000,Policy_1
196,46,Male,1400000,Policy_4
171,42,Male,2200000,Policy_5
1,19,Male,400000,Policy_3
224,51,Male,400000,Policy_2
49,31,Female,3400000,Policy_15
109,36,Female,600000,Policy_10
185,44,Male,400000,Policy_3
41,30,Male,200000,Policy_1
82,34,Female,3400000,Policy_14
246,59,Male,400000,Policy_1
44,30,Male,900000,Policy_2
67,32,Male,400000,Policy_1
23,19,Male,400000,Policy_1
50,31,Male,1100000,Policy_3
142,40,Female,600000,Policy_10
42,30,Female,2600000,Policy_14
106,36,Male,400000,Policy_1
163,41,Male,400000,Policy_1
2,22,Female,700000,Policy_11
213,50,Male,1400000,Policy_7
21,26,Male,500000,Policy_1
54,32,Male,500000,Policy_1
111,36,Male,2100000,Policy_4
125,37,Male,2600000,Policy_4
68,33,Female,700000,Policy_10
129,38,Female,700000,Policy_12
75,33,Male,2200000,Policy_4
10,28,Male,500000,Policy_1
29,22,Female,800000,Policy_10
233,54,Male,5800000,Policy_8
20,30,Male,2600000,Policy_4
137,39,Male,500000,Policy_1
183,44,Male,500000,Policy_1
43,30,Male,500000,Policy_2
8,27,Female,800000,Policy_12
18,29,Female,800000,Policy_11
65,32,Male,500000,Policy_1
71,33,Male,3400000,Policy_6
99,35,Female,3400000,Policy_15
104,36,Male,500000,Policy_2
93,35,Male,500000,Policy_1
53,32,Male,2600000,Policy_4
115,36,Male,6780000,Policy_7
4,25,Male,600000,Policy_1
52,32,Female,800000,Policy_10
198,47,Female,300000,Policy_1
87,34,Male,500000,Policy_1
150,40,Male,500000,Policy_1
69,33,Female,1300000,Policy_12
146,40,Male,1100000,Policy_3
126,37,Male,500000,Policy_1
37,28,Male,600000,Policy_1
64,32,Male,2600000,Policy_4
15,29,Male,600000,Policy_1
62,32,Female,800000,Policy_11
112,36,Female,800000,Policy_10
120,37,Male,600000,Policy_1
244,58,Male,500000,Policy_1
78,33,Female,1400000,Policy_14
81,34,Male,600000,Policy_2
131,38,Male,600000,Policy_1
86,34,Male,2600000,Policy_5
103,36,Male,2600000,Policy_5
166,42,Male,600000,Policy_1
148,40,Female,800000,Policy_10
79,34,Female,2700000,Policy_14
227,52,Male,600000,Policy_3
46,31,Male,700000,Policy_2
132,38,Female,3400000,Policy_14
160,41,Male,2600000,Policy_5
164,41,Male,700000,Policy_4
203,47,Male,700000,Policy_3
70,33,Male,600000,Policy_1
107,36,Male,700000,Policy_3
22,19,Female,900000,Policy_12
