LeadId,Age,Gender,Income,PolicyName
1,22,Male,500000,Policy_2
2,25,Male,600000,Policy_1
3,25,Male,900000,Policy_5
4,29,Male,300000,Policy_1
5,21,Male,200000,Policy_2
6,22,Male,600000,Policy_5
7,24,Male,1000000,Policy_7
8,24,Male,900000,Policy_5
9,28,Male,800000,Policy_5
10,27,Male,700000,Policy_3
11,21,Male,350000,Policy_1
12,23,Male,400000,Policy_3
13,23,Male,500000,Policy_5
14,25,Male,900000,Policy_5
15,25,Male,800000,Policy_5
16,28,Male,1300000,Policy_5
17,30,Male,1500000,Policy_7
18,30,Male,1300000,Policy_7
19,26,Male,700000,Policy_3
20,26,Male,400000,Policy_2
21,22,Male,400000,Policy_2
22,24,Male,600000,Policy_3
23,21,Male,600000,Policy_5
24,27,Male,700000,Policy_2
25,28,Male,900000,Policy_5
26,26,Male,1300000,Policy_7
27,22,Male,1100000,Policy_5
28,24,Male,300000,Policy_1
29,26,Male,400000,Policy_1
30,29,Male,500000,Policy_2
31,21,Male,900000,Policy_5
32,26,Male,400000,Policy_2
33,25,Male,1100000,Policy_5
34,23,Male,400000,Policy_2
35,31,Male,1300000,Policy_8
36,34,Male,1400000,Policy_14
37,35,Male,2200000,Policy_9
38,35,Male,1700000,Policy_9
39,32,Male,1400000,Policy_8
40,37,Male,1700000,Policy_9
41,39,Male,900000,Policy_7
42,37,Male,2300000,Policy_8
43,33,Male,2100000,Policy_9
44,35,Male,1400000,Policy_8
45,36,Male,1600000,Policy_7
46,31,Male,1300000,Policy_6
47,34,Male,800000,Policy_8
48,40,Male,1800000,Policy_9
49,38,Male,1200000,Policy_7
50,39,Male,1500000,Policy_9
51,40,Male,1000000,Policy_8
52,40,Male,2100000,Policy_9
53,31,Male,2300000,Policy_9
54,31,Male,3000000,Policy_9
55,32,Male,900000,Policy_7
56,33,Male,1100000,Policy_7
57,38,Male,1200000,Policy_6
58,39,Male,1500000,Policy_7
59,36,Male,1600000,Policy_8
60,37,Male,1700000,Policy_9
61,32,Male,1600000,Policy_8
62,31,Male,900000,Policy_7
63,39,Male,1900000,Policy_8
64,37,Male,1600000,Policy_8
65,34,Male,600000,Policy_6
66,36,Male,900000,Policy_6
67,35,Male,1100000,Policy_7
68,40,Male,1500000,Policy_6
69,42,Male,2200000,Policy_9
70,46,Male,600000,Policy_5
71,48,Male,900000,Policy_6
72,54,Male,3500000,Policy_9
73,53,Male,3300000,Policy_9
74,58,Male,3200000,Policy_8
75,53,Male,2100000,Policy_7
76,49,Male,300000,Policy_3
77,54,Male,2100000,Policy_5
78,47,Male,1200000,Policy_4
79,51,Male,1900000,Policy_7
80,42,Male,600000,Policy_2
81,49,Male,700000,Policy_1
82,47,Male,700000,Policy_2
83,43,Male,800000,Policy_1
84,54,Male,1200000,Policy_7
85,59,Male,300000,Policy_1
86,58,Male,1200000,Policy_4
87,57,Male,2500000,Policy_3
88,52,Male,600000,Policy_2
89,50,Male,700000,Policy_1
90,60,Male,900000,Policy_5
91,54,Male,700000,Policy_4
92,52,Male,1200000,Policy_7
93,48,Male,2400000,Policy_8
94,46,Male,2600000,Policy_9
95,43,Male,2100000,Policy_9
96,45,Male,1500000,Policy_6
97,47,Male,1400000,Policy_7
98,41,Male,900000,Policy_5
99,43,Male,800000,Policy_7
100,58,Male,700000,Policy_7
101,28,Female,800000,Policy_7
102,24,Female,500000,Policy_10
103,23,Female,600000,Policy_10
104,27,Female,900000,Policy_11
105,28,Female,300000,Policy_2
106,29,Female,200000,Policy_1
107,31,Female,600000,Policy_2
108,35,Female,1000000,Policy_13
109,34,Female,900000,Policy_13
110,32,Female,800000,Policy_13
111,33,Female,700000,Policy_6
112,31,Female,350000,Policy_3
113,30,Female,400000,Policy_10
114,29,Female,500000,Policy_11
115,26,Female,900000,Policy_12
116,34,Female,800000,Policy_11
117,32,Female,1300000,Policy_15
118,31,Female,1500000,Policy_14
119,30,Female,1300000,Policy_13
120,26,Female,700000,Policy_11
121,26,Female,400000,Policy_1
122,27,Female,400000,Policy_1
123,28,Female,600000,Policy_5
124,26,Female,600000,Policy_11
125,27,Female,700000,Policy_11
126,35,Female,900000,Policy_13
127,34,Female,1300000,Policy_14
128,35,Female,1100000,Policy_15
129,32,Female,300000,Policy_1
130,31,Female,400000,Policy_13
131,35,Female,500000,Policy_3
132,32,Female,900000,Policy_5
133,26,Female,400000,Policy_2
134,24,Female,1100000,Policy_11
135,20,Female,400000,Policy_3
136,20,Female,1300000,Policy_17
137,21,Female,1400000,Policy_5
138,25,Female,500000,Policy_3
139,24,Female,700000,Policy_10
140,23,Female,400000,Policy_2
141,24,Female,1700000,Policy_8
142,25,Female,900000,Policy_6
143,21,Female,300000,Policy_1
144,20,Female,900000,Policy_6
145,21,Female,700000,Policy_1
146,23,Female,900000,Policy_3
147,24,Female,1300000,Policy_14
148,25,Female,800000,Policy_4
149,21,Female,900000,Policy_7
150,23,Female,1200000,Policy_7
151,24,Female,700000,Policy_5
152,25,Female,600000,Policy_10
153,24,Female,500000,Policy_2
154,22,Female,2300000,Policy_9
